Sentimen;teks_stemmed
negatif;  jabat gubernur jabar bey machmudin pasti anggar rp1 triliun untuk laksana program makan bergizi gratis mbg di seluruh kotakabupaten jabar lama tahun
negatif;  miris bgt liat review nyata program makan bergizi gratis cuma bisa batin aja
negatif;  anak kasih makan bergizi gratis yang gak bergizi amat orang tua palak ppn 12 yang bener aja dong situ waras
positif;  bravo makan bergizi gratis bikin anak2 tumbuh pintar dan kuat
negatif;  sial opini jelek nama program apa makan bergizi gratis apa makan syukur gratis ini program pake apbn lho duit rakyat bukan duit admin gerindra terus kalo rakyat kritik langsung cap ga nerima kalah
negatif;  udah laa makan bergizi gratis itu gada wong uang ambil dari uang pajak dan sebagainyaa ko kalo gratis tuh emang bener dari jual bagai bahan bahan yaang jual ke negara lain kalo untung terus di buat ngasih ke rakyat baru nama grat
negatif;  program makan bergizi gratis bantu kemenkes atas salah satu dari tiga isu sehat menkes budi gunadi sadikin nilai program makan bergizi gratis mbg rupa langkah penting dalam tangan salah satu dari tiga isu sehat utama
negatif;  alas aja kasih program makan gratis tapi gak bergizi menteri isi ratus orang sama wakil menteri jabat hidup hedon dari fasilitas dan tunjang gak penting dan masih alas gak ada budget bullshit
positif;  makan bergizi gratis makin miris aja makan
negatif;  dulu kirain saya makan bergizi gratis ini laku di seluruh sekolah dan sma smk di seluruh wilayah indonesia tapi nyata tidak ya
negatif;  duit segitu daripada buat makan siang gratis yg ga efektif itu kenapa ga dipake buat tingkat sejahtera rakyat aja sih itu anak anak gabakal stunting kalo orangtuanya mampu ngasih makan bergizi masa hal kaya gin aja ga pikir ya
negatif;  yg sprt ini memang sdh di antisipasi oleh perintah itu buat dari klompok sakit hati dan mereka dgn sengaja laku sabotage makan bergizi gratis sabotage sprt ini jgn di biar rajalela
negatif;  duit segitu daripada buat makan siang gratis yg ga efektif itu kenapa ga dipake buat tingkat sejahtera rakyat aja sih itu anak anak gabakal stunting kalo orangtuanya mampu ngasih makan bergizi masa hal kaya gin aja ga pikir yak
negatif;  mungkin makin ngga jelas negara ini dengan anggar makan siang anak bergizi gratis yg kampanye di anggar dari 25 ribu turun ke 18 ribu lalu 15 ribu yg sekarang jadi 10 ribu utk cerdas anak bangsa kita doa saja negara k
negatif;  amat bijak publik trubus rahadiansyah sorot perlu tambah asupan asam folat dalam program makan bergizi gratis mbg yang untuk bagi ibu hamil
negatif;  makan gratis bergizi 10rb per kepala murid makan siang gratis untuk guru dibayarin ama masingmasing orangtua murid besar 26 juta untuk tahun pertama jika 26 juta kali 100 murid bagi 300 hari bagi 20 guru maka harga makan siang guru 43rban
negatif;  menu hari iniyg pasti lebih bergizi daripadamakan siang gratis eh
positif;  tawarin ke makan bergizi gratis 5 rb satu batang bisa buat 5 orang lebih gantung jumlah daun daripada kasi sayur gak jelas dikit
positif;  itu makan bergizi siang gratis ya murid sd mana ya
positif;  dari makan bergizi gratis ini bukti peduli presiden prabowo utk tepat janji kampanye balik dari jokowi yg janji kampanye tdk ada yg tepat jokowi telah bohong rakyat indonesia dgn janji kampanye
positif;  mari dukung makan bergizi gratis untuk anakanak kita
negatif;  buru buru mau awas makan bergizi gratis
negatif;  tahun lalu gw juga bilang apa stop program makan bergizi gratis nanti kalau perintah pak sudah stabil baru siap dengan matang banyak janji politik yang lebih urgent untuk realisasi
positif;  program makan bergizi gratis ini adalah langkah nyata untuk cipta ubah besar
positif;  support penuh buat program makan bergizi gratis impactnya nyata
negatif;  makan bergizi ekonomi bangkit program makan bergizi gratis bukan cuma soal sehat tapi juga dorong besar untuk ekonomi lokal barengbareng kita bangun indonesia yang lebih kuat
negatif;  mbg solusi stunting dan ekonomi rata program makan bergizi gratis bukan hanya soal gizi tapi juga langkah besar untuk ekonomi adil dan tahan pangan kuat ekonomi
positif;  ya nama juga makan bergizi gratis buat didik bukan org lantar aja goblok bgt u
positif;  neng liat vidio2 anak anak dapet makan bergizi gratis
negatif;  makan bergizi gratis itu baik tapi banyak anggur daya beli jatuh turut saya lebih baik kalo dana yg puluh triliun itu sbagian utk subsidi pupuk amp
positif;  jadi ini gratis atau bayar gratis tapi bayar gitu atau bayar tapi gratis masih gak konek otak makan bergizi gratis tapi bayar
negatif;  goblok yg di maksud itu makan bergizi gratis bukan jajan
negatif;  same with indonesia high five kita kalau kenan search makan bergizi gratis program baru untuk anak sekolah dari new president
negatif;  isi laut dari 2 samudera lebih dari cukup untuk buat makan bergizi untuk makan siang gratis anakanak sekolah
negatif;  goblok yg di maksud makan siang gratis bergizi
positif;  anak sd ini sisa jatah makan bergizi gratis untuk ibu di rumah jadi
positif;  program mantul makan bergizi gratis bikin masa depan sehat
negatif;  jangan mau gak usah ambil makan nasi gratis bikin miris mending bawain bekal anak sendiri yg lebih bergizi dan jam dari semua segi
positif;  masih lihat lebih bergizi daripada menu makan siang gratis
negatif;  program makan bergizi tidak gratis
negatif;  makan gratis bergizi ini akan ingat sampai kapan oleh anakanak saya masih inget dulu pas sd pak idham samawi ngasih 1 pohon jati dan 2 ekor ayam kampung pasang harap pelihara dan telur masak semua butuh proses nama juga program
positif;  makan bergizi gratis bikin hidup lebih baik keluarga kecil pasti bahagia
positif;  dari 10 tahun kuasa kata ekonomi meroketkenyataan nya rakyat masih suap kocor bansos kalau ekonomi roket ekonomi rakyat lancar jaya tak perlu tebar bansos dan makan bergizi gratis susu daun kelor lol
negatif;  beberapa hari ini liat di tl makan gratis anak sekolah gmn ma bergizi sayur aja overcooked sampe pucet
positif;  ini makan bergizi gratis apa gratis doang sih picky eater picky eater makan lu ga enak kocak
positif;  makan bergizi gratis mbg masih banyak suara minor kena mutu amp
positif;  mantap makan bergizi gratis bikin generasi sehat dan ekonomi lancar
negatif;  bahkan makan siang bergizi gratis ini harus program yang baru dikerjain telah sekolah dasar pada punya dapur umum atau sekadar storage bagai salah satu fasilitas susah emang kalau punya pejabatpejabat bego bangkot korup dan ga visioner blas
positif;  program makan bergizi gratis ini pasti beri dampak   dalam jangka panjang
positif;  makan bergizi gratis itu solusi cerdas bwt semua
negatif;  yah kalo narasi syukur udah kasih mah jgn kasih nama makan bergizi gratis tp makan ikhlas gratis nah itu baru dah org janji sama realisasi aja udah jauh bgt tambah eksekusi paksa biar liat
negatif;  makan bergizi jatuh ini apa itu kata gratis hanya embelembel
positif;  makan bergizi gratis anakanak masa depan cerah
positif;  luar biasa makan bergizi gratis bikin kualitas hidup tingkat
positif;  program makan bergizi gratis jadi sempat emas bagi emiten untuk raih untung inisiatif ini tak hanya beri manfaat sosial tetapi juga dorong tumbuh sektor makan dan distribusi saat perut kenyang ekonomi pun makin kembang lihat artikel
positif;  makan bergizi gratis bikin ekonomi lokal jadi oke banget
positif;  makan bergizi gratis langkah cerdas buat masa depan
negatif;  parah anak2 di kasih makan alakadarnya tanpa di sedia air mineral makin tahu kan bobrok program yg kata makan bergizi gratis
negatif;  dia lupa tuju makan siang gratis itu apa bantu ekonomi ganjel perut doang klo tuju emg bantuin ekonomi ortunya ya mending sektor lain yg tingkat misal naekin umr nya murahin hrga2 sembakonya jd ortunya bisa kasih mkan berg
positif;  makan bergizi gratis bukan makan enak gratis makan enak belum tentu bergizi saya yakin anak itu kalau kasi mie goreng sama tempe goreng pasti mereka akan pilih mie goreng lebih bergizi amp
positif;  dukung penuh untuk program makan bergizi gratis moga dapat jangkau seluruh pelosok negeri
positif;  program makan bergizi gratis adalah wujud nyata adil sosial bagi seluruh rakyat
positif;  makan bergizi gratis th solusi anu nyata pikeun ningkatkeun kualitas hirup rakyat
positif;  program makan bergizi gratis ini langkah kecil dengan dampak luar biasa
negatif;  makan bergizi gratis sama sekali tidak cukup nilai gizi untuk anak sekolah coba banding dengan pandu porsi makan dg gizi imbang turut kemenkes amat sangat jauh dari kata bergizi aguan 30 km
positif;  program makan bergizi gratis adalah bukti nyata perhati perintah hadap masa depan bangsa
negatif;  mudarat makan bergizi gratis akan alir sampai jauh
positif;  bsk adekku dpet makan bergizi gratis
negatif;  buzzer goblok ini bukan soal suka atau tidak suka ayam tp bergizi apa gak bergizi tau gak blok goblok tuju itu makan bergizi gratis
negatif;  pak prabowo mending batalin aja makan gratis ini gapapa kok daripada menu maksa bener dan iya kalo emang makan bergizi lha apa yang didapet dari harga segitu
negatif;  lebih hebat lagi uang jatah buzzer alokasi buat makan siang gratis agar isi lebih bergizi sanggup gak
negatif;  rahasia negara anakanak imbau supaya tidak ambil foto menu makan bergizi gratis dan menyebarluaskannya ujar kepala sekolah di somalia emang kenapa pak tanya jon orang murid yg tampan itu karena lauk pauk rupa rahasia negara jelas kepsek
negatif;  gw lg mikir orang ngomong mbg mbg tuh apa gw pikir makan bareng gbran nyata makan bergizi gratis
negatif;  makan siang bergizi gratis adalah wujud nyata dari bangun bangsa yang inklusif
negatif;  makan bergizi gratis ini sangat bantu anakanak dari keluarga kurang mampu
negatif;  pemdanya bisa kena pasal korupsi atau pungli kalau mungut lagi dana dari orang tua murid untuk program makan bergizi gratis
negatif;  program makan bergizi gratis ini harus jadi contoh bagi daerah lain di indonesia
negatif;  makan bergizi gratis itu solusi yang sangat butuh
negatif;  entah kedok pungut liar tuk tutup kurang dana makan bergizi gratis atau bagemana
positif;  sipp moga program makan bergizi gratis ini bisa manfaat buat banyak orang ya good job perintah
positif;  makan bergizi gratis ini bukti bahwa kita bisa buat ubah besar
positif;  program makan bergizi gratis ini benarbenar beri dampak besar untuk anakanak di seluruh indonesia
negatif;  kata gua vendor coretax mending jadi vendor makan bergizi gratis dah biar program gajelasnya ga banyak gitu
positif;  kita support program makan bergizi gratis moga tiap hari makin baik mutu amp
positif;  makan gratis bergizi pula program ini benerbener bikin happy
negatif;  ini juga bukan makan siang gratis dan bukan pake uang bisa pasti sehat dan bergizi kalau ini
positif;  program makan bergizi gratis adalah langkah cerdas untuk tingkat sejahtera rakyat
positif;  baik makan gratis di ikan di daerah dalam desa di daerah lebih manfaat di kota ribet anak2 biasa fast food banyak mau dan masyarakat kota tidak harga padahal gratis dan bergizi ada testimoni a
positif;  itu program makan bergizi gratis sampai ke skolah pelosok desa desa gk ya
negatif;  hari tiga makan bergizi gratis adik aku kali ini ada ayam tapi kecil tahu gaada rasa kata kayak makan udara masih ga dapet susu jeruk dilempar2 sama temen2 kelas karna bosen dari hari pertama jeruk terus jadi malah perang jeruk
positif;  makan bergizi gratis mangrupa solusi nyata pikeun ningkatkeun kualitas sdm
positif;  makan bergizi gratis bikin hidup keluarga kecil jadi lebih nyaman terima kasih
positif;  program makan bergizi gratis adalah bukti nyata perhati perintah hadap rakyat kecil
negatif;  makan bergizi gratis ko malah jadi yang penting makan
positif;  program makan bergizi gratis milik potensi besar untuk beri manfaat jika implementasi dengan benar tetapi juga hadap tantang yang perlu atas untuk pasti efektivitas dan efisiensi
positif;  program makan bergizi gratis bantu cipta masyarakat yang lebih sehat dan daya saing
positif;  itu knp ada program makan bergizi gratis
positif;  program makan bergizi gratis adalah investasi penting untuk generasi datang
positif;  makan bergizi gratis ini kayak mimpi jadi nyata perintah makin solid
positif;  makan bergizi gratis solusi jitu buat stunting perintah makin top aja
negatif;  program makan bergizi gratis adalah bukti nyata pihak perintah pada rakyat kecil
positif;  program makan bergizi gratis adalah langkah konkret untuk cipta adil sosial
negatif;  program makan bergizi gratis jadi harap baru bagi masyarakat kurang mampu
positif;  makan bergizi gratis ini solusi baik buat masalah gizi di indonesia
positif;  program makan bergizi gratis adalah salah satu bijak baik untuk tingkat kualitas hidup rakyat
positif;  makan gratis tapi tetap bergizi ini sih program yang wajib puji lanjut
positif;  makan bergizi gratis adalah bentuk nyata adil sosial bagi seluruh rakyat
negatif;  program makan siang bergizi gratis jadi inspirasi bagi daerah lain untuk laku hal rupa
positif;  program makan bergizi gratis adalah langkah strategis untuk tingkat kualitas sdm
positif;  program makan bergizi gratis adalah bukti nyata perhati perintah pada rakyat kecil
positif;  program makan bergizi gratis adalah solusi inovatif untuk atas masalah gizi nasional
positif;  program makan bergizi gratis ini bikin masa depan anakanak kita jadi lebih cerah salut
negatif;  salut buat perintah yang bikin program makan bergizi gratis jadi nyata
positif;  moga program makan bergizi gratis terus lanjut dan beri manfaat besar bagi rakyat
positif;  salut buat program makan bergizi gratis anakanak sekarang nggak perlu khawatir soal gizi
positif;  makan bergizi gratis ini contoh nyata gimana perintah bisa bikin ubah besar
positif;  program makan bergizi gratis bikin masyarakat kecil jadi lebih optimis
negatif;  program makan bergizi gratis adalah salah satu bijak yang sangat prorakyat
negatif;  salut buat program makan bergizi gratis yang bikin rakyat kecil lebih sejahtera
negatif;  program makan bergizi gratis bantu anakanak dapat hak mereka atas gizi yang cukup
positif;  komitmen perintah dalam penuh butuh gizi generasi emas lihat lalu program makan bergizi gratis wujud mimpi kita
positif;  program makan bergizi gratis ini contoh nyata aksi peduli sama
negatif;  makan bergizi gratis jadi harap bagi mereka yang sulit dapat asupan gizi wujud mimpi kita
negatif;  dengan program makan bergizi gratis akan dampak baik untuk generasi indonesia wujud mimpi kita
positif;  program makan bergizi gratis ke sekolah2 sangat bantu kaum ibu2 wujud mimpi kita
negatif;  dengan makan bergizigratis masyarakat harap oleh tubuh yang sehat dan cerdas optimal wujud mimpi kita
negatif;  dengan program makan bergizi gratis perintah bukti komitmen untuk cipta generasi emas yang sehat dan bergizi wujud mimpi kita
negatif;  makan bergizi gratis itu langkah sederhana dengan dampak luar biasa
positif;  program makan bergizi gratis adalah bukti konkret serius perintah dalam dukung penuh gizi generasi emas indonesia wujud mimpi kita
negatif;  program perintah makan bergizi gratis yang ada oleh perintah rupa salah satu langkah yang sangat tepat wujud mimpi kita
negatif;  program makan bergizi gratis bantu anakanak tumbuh dengan asupan gizi yang optimal
negatif;  potensi masalah program makan siang bergizi gratis racun massal vendor tidak bayar atau lambat bayar orang tua siswa pada akhir minta berpartisisapi alias ikut patungan wqwqwq apa lagi yak
negatif;  makan bergizi gratis akan buat generasi negara jauh lebih sehat dan pasti akan bisa saing negara maju di semua bidang wujud mimpi kita
positif;  anak saya jadi lebih semangat ke sekolah karena program makan bergizi gratis wujud mimpi kita
negatif;  perlu makan bergizi gratis adalah untuk jamin tiap orang milik akses makan sehat yang bergizi wujud mimpi kita
positif;  program makan bergizi gratis adalah solusi nyata untuk cipta generasi yang lebih kuat
positif;  terima kasih buat semua yang sudah peduli dan dukung program makan bergizi gratis ini
positif;  wujud mimpi kita makan bergizi gratis nahhh sudah beri
negatif;  program makan bergizi gratis ini bagi dari rencana kembang anak yang gijinya kurang hingga bisa cukup dengan baik wujud mimpi kita
positif;  gizi imbang adalah kunci utama dari program makan bergizi gratis dalam tingkat kualitas hidup anak2 indonesia wujud mimpi kita
positif;  moga makan bergizi gratis jadi gera nasional di indonesia
negatif;  bukan takut pak tapi ndak enak karena sudah terlalu banyak terima beri makan bergizi gratis dari tuan meneer
negatif;  makan bergizi gratis rupa program perintah untuk penuh gizi anak indonesia wujud mimpi kita
positif;  program makan bergizi gratis pasti masa depan bangsa lalu sehat anakanaknya wujud mimpi kita
negatif;  lalu makan bergizigratis program ini ingin cipta generasi yang sehat dan pintar wujud mimpi kita
positif;  makan bergizi gratis ini langkah nyata untuk peduli anak bangsa
positif;  makan bergizi gratis ini bikin hidup lebih imbang gizi cukup hati tenang
negatif;  mana moncong yg bilang makan sehat bergizi gratis gak penting tapuk ae lambe banyak kek gin dimedsossorang anak penting ibu n saudara kandung bilang gak penting ndas mugak penting
positif;  asupan gizi yang baik jadi landas program makan bergizi gratis dalam bentuk generasi sehat dan cerdas wujud mimpi kita
negatif;  mas tum ga ngecek makan bergizi gratis
negatif;  generasi sehat mulai dari program makan bergizi gratis karena tubuh butuh gizi buat tumbuh wujud mimpi kita
positif;  program makan bergizi gratis bantu kurang senjang akses pangan di masyarakat
negatif;  kita harus berterimakasih karena makan bergizi gratis yg telah laksana wujud mimpi kita
negatif;  bagai tanda awal dari jalan program makan bergizi gratis beberapa anggota kabinet juga akan hadir di beberapa titik wujud mimpi kita
positif;  program makan bergizi gratis bantu cipta generasi yang lebih sehat dan produktif
negatif;  dengan konsumsi makan bergizi gratis kita tanam dasar yang kuat untuk hidup yang lebih sehat di masa depan wujud mimpi kita
positif;  program makan bergizi gratis adalah investasi penting untuk masa depan generasi indonesia
positif;  program makan bergizi gratis adalah salah satu langkah nyata presiden prabowo dalam cerdas hidup bangsa bagaimana amanat dalam uud 1964 wujud mimpi kita
positif;  pantau terus jangan bungkam anak2 gimana nih makan bergizi gratis hari empat penasaran sama menunyaa
negatif;  apresiasi besar dari program makan bergizi gratis untuk maju generasi emas indonesia wujud mimpi kita
positif;  makan bergizi gratis ini contoh nyata bijak yang langsung dirasain manfaat
positif;  wujud mimpi kita makan bergizi gratis utk anak2 yg sekolah nihh
positif;  program makan bergizi gratis sudah mulai bagai sekolah di indonesia wujud mimpi kita
negatif;  program makan bergizi gratis bikin kita jadi generasi tangguh yang nggak takut saing wujud mimpi kita
negatif;  program makan bergizigratis fokus pada beri makan bergizi untuk tingkat sehat dan cerdas wujud mimpi kita
positif;  program makan bergizi gratis cermin pihak perintah kepada rakyat kecil
positif;  program makan bergizi gratis bantu cipta masyarakat yang lebih sehat dan kuat
negatif;  anakanak indonesia tidak ragu lagi makin kuat dan unggul dengan program makan bergizi gratis wujud mimpi kita
positif;  makan siang bergizi gratis bantu anakanak capai potensi baik mereka
positif;  program makan bergizi gratis adalah bukti nyata perhati perintah hadap masyarakat kecil
negatif;  program makan bergizi gratis bantu cipta generasi yang lebih siap hadap masa depan
positif;  program makan bergizi gratis adalah salah satu langkah nyata dalam cipta generasi unggul
positif;  program makan bergizi gratis bantu kurang angka stunting di indonesia
positif;  program makan bergizi gratis adalah solusi jitu buat masalah gizi di negeri kita
positif;  program makan bergizi gratis adalah langkah strategis dalam cipta indonesia yang lebih sehat
positif;  memang bagus makan bergizi gratis yg ada oleh perintah wujud mimpi kita
negatif;  ikan belum di tangkap jadi ala kadar dulu yang penting buzernya belah nggak nanya terus sola makan siang bergizi gratis
negatif;  dengan program makan bergizi gratis harap dapat penuh gizi anak indonesia tuju generasi emas wujud mimpi kita
negatif;  ide makan siang gratis untuk anak sekolah nih bagus banget bukti negara yg lain nerapin kan tapi negara ini doang yg brengsek luar biasa busetttt makan nasi kucing 2 porsi lebih bergizi deh kayak nya
positif;  anakanak indonesia pasti makin kuat dan unggul dengan program makan bergizi gratis wujud mimpi kita
positif;  program makan bergizi gratis adalah investasi nyata bagi sejahtera generasi datang
positif;  program makan bergizi gratis adalah investasi nyata bagi masa depan bangsa indonesia
negatif;  program makan bergizi gratis ini benarbenar inspirasi untuk semua orang
positif;  makan bergizi gratis adalah bukti nyata pihak perintah pada sejahtera rakyat
positif;  sdsma sudah gratis sudah banyak negaranegara maju yg terap makan bergizi gratis utk anak sekolah nya dan efek bagus anak abah ini emang pd bego apa ya
negatif;  makan bergizi gratis itu hak tiap anak moga terus dorong di seluruh negeri
negatif;  program makan bergizi gratis adalah wujud nyata dari pihak perintah pada masyarakat kecil
positif;  program makan bergizi gratis adalah solusi nyata untuk masalah malnutrisi di indonesia
positif;  program makan bergizi gratis adalah wujud nyata perhati perintah hadap masa depan anakanak
positif;  program makan bergizi gratis adalah langkah konkret dalam cipta indonesia yang lebih sehat
positif;  bijak makan siang bergizi gratis dukung perata hak anakanak untuk hidup sehat
positif;  program makan bergizi gratis adalah solusi nyata untuk kurang miskin di indonesia
positif;  makan bergizi gratis bakal ngadukung kamekaran barudak sacara fisik jeung mental
positif;  makan bergizi gratis adalah langkah nyata dalam tingkat kualitas sdm indonesia
positif;  program makan bergizi gratis ini langkah nyata untuk cipta generasi yang lebih sehat dan cerdas
negatif;  makan siang gratis nya sangat bergizi
positif;  program makan bergizi gratis ini solusi baik untuk masalah gizi
