Sentimen;Text;
positif;makan bergizi gratis MBG kurang MSG tapi ga pake MSG pun sehat;
negatif;Memang ada yg mencaci makanan Ada mencela menu Makan Bergizi GRATIS Prof Lagi musim;
negatif;Inilah program yang dijanjikan sewaktu kampanyeprogram makan bergizi gratis Colok lagi 5 tahun kemudian;
negatif;Udah bener itu MBG makan bergizi gratis untuk orang yang lagi di rawat inap;
positif;Program makan bergizi gratis adalah solusi jangka panjang untuk perbaikan gizi nasional;
positif;justru yg perlu ditingkatkan kesejahteraan rakyat cuiy kalo ortu pnya kerjaan harga bahan pangan terjangkau pendidikan gratis gt;
negatif;Program Makan Bergizi Gratis yang dimulai sejak Senin menjadi sorotan banyak pihak Sejumlah siswa mengeluhkan soal sayuran yang mereka makan terasa pahit dan agak kecut Ada pula yang kecewa karena tak dapat susu seperti yang dijanjikan;
negatif;Gak tepat sasaransekolah swasta kok dapat makan gratisorangtuanya kan mampu bayar spp ratusan ribujd pasti mampu beliin makanan bergizi utk anaknya;
negatif;Saya ketemu satu akun di IG yang bahas keterlambatan paket makanan Ada video siswa yang diwawancarai Isi komennya menyalahkan anak ndak sarapan ortu ndak siapin sarapan anak karena ndak bersyukur ortu dan anak karena ini makan bergizi gra;
positif;Senang melihat program makan bergizi gratis sudah berjalan jika dilapangan msh ada kekurangan ya tinggal diperbaiki terus menerus namanya juga program baru Banyak vidio yg viral di berbagai medsos mengucapkan terima kasih ke Pemerintah Sehat terus pelajar Indonesia;
negatif;Makan bergizi gratis hanya akan menjadi kotoran tanpa didukung adanya pengajaran yang baik dan tepat;
positif;Makan bergizi gratis tidak ada jaminan menjadikan SDM berkualitas SDM berkualitas ditentukan dibentuk oleh pengajaran yang baik dan tepat;
negatif;emang masih ga masuk akal aja program ini tuh kalau makanan bergizi untuk ibu hamil balita dan fakir miskin masih bisa dicerna tpi kalau makan gratis untuk anak sekolahan kyk jir ga masuk akal lah pokonya;
negatif;Selamat menikmati makan bergizi gratis tapi ga gratis;
negatif;Lah yang Rohingya aja sampek sekarang masih antri dilaut mau masuk konoha aman2 aja kok malahan dijemput diberi makan bergizi gratis kalo bisa;
negatif;Maksud confirm di sini mau menekankan kalo program makan siang yang beneran bergizi dan beneran gratis untuk skala nasional itu program absurd Terutama kalo diterapin di Indo;
negatif;Ini menunjukkan apa Bahwa makan siang ini hanya bisa dinikmati untuk anak yg bersekolah saja Terus bagaimana dengan anak2 yg tidak bersekolah atau putus sekolah Apa mereka gak berhak dapat makan siang bergizi yg katanya gratis i;
negatif;Tiap hari makan bergizi gratis anggarannya bisa jebol udah buat tiga hari aja tapi benar2 enak dari pada gini yang ada dibawa pulang dengan dalih buat ibu aslinya kagak doyan anak2;
negatif;Ga usah dinamain makan bergizi gratis dinamain makan gratis aja udah;
negatif;Justru dari makan siang gratis untuk mencegah stunting aja udah aneh Pencegahan stunting seharusnya dilakukan jauh sebelum itu Aku lebih sepakat pencegahan stunting dilakukan dengan memberikan bantuan dan aksesibilitas terhadap calon ibu untuk mengakses makanan bergizi;
negatif;Sulit Butuh makan bergizi gratis;
negatif;Janjinya Programnya makan gratis sempet ngomong kita gak punya uang Yang bergizi itu dana dari china Tapi ngakunya uang pribadi;
negatif;Ini konteks nya makan gratis atau makan gratis yg bergizi;
positif;Makan bergizi gratis adalah langkah nyata dalam mengurangi stunting;
negatif;Makanyaa gue beneri otak lu Itu emang program makan bergizi gratis program pemerintah Pak prabowo trs ada kekurangan di makanan nya kan beliau gk tw Trs elu dengan pemkiran yg dangkal elu pcya aja omongan si;
negatif;Gurunya kan juga mau makan siang gratis Dan yg pasti lebih bergizi;
positif;Lebih takut kalau tibatiba dikirimin seminggu full katering makan bergizi gratis;
negatif;jd cuma segitu doang hasil kerja ahli gizi negara ini untuk memberi makan siang gratis yg katanya bergizi itu lawaaaak;
negatif;Justru karena udah pernah ngerasain hidup susah sampai makan nasi cuma sama garam makanya bisa protes ada pemerintah yang katanya mau bikin program makan siang gratis yang bergizi tapi dikasihnya justru nggak sesuai harapan Jangan goblok banget dah lu;
negatif;makan bergizi gratis kok bayar;
negatif;Seperti ini makan bergizi gratis yg aku mau;
negatif;Masukan utk pemerintah supaya program makan bergizi gratis membaik;
negatif;terlalu jauh kak kalo perbandingannya sama korea ini budgetnya kecil bgt bgt soalnya kaya yg penting teralisasikan mau makanannya gimana juga yg penting jadi ni agenda makan siang gratis yg tidak bergizi ini;
negatif;program makan bergizi gratis ini terlalu cepet diimplementasikan sih kata gua entah riset apa yg udah mereka lakuin pada nyatanya belom cukup dijadiin dasar buat ngasih program ini ke anak2 distribusi telat porsi makan yg beda2 tiap daerah jumlah kalori dll;
positif;Karena qodari harus melakukan suapan makan gratis bergizi yg pertama;
negatif;Iya membantu klo tepat sasaran lah ini ada sekolah swasta yg bisa d bilang cukup bagus d kasi makan gratis dimana pasti makanan d rumahnya lebih enak dan bergizi Ya memang klo buat program ga langsung sempurna tapi minimal di kaji dg baik lahh output dan sasaran nya gimana;
negatif;Kalau yang ini kebetulan cateringnya waras Sedangkan catering makan bergizi gratis di daerah lain banyak yang gak waras;
negatif;Setelah banyak foto menu2 Makan Bergizi Gratis aku menunggu berita tidak dibayarnya vendor2 dan carutmarut lainnya sampai ada yang ditangkep KPK karena korupsi xxx rupiah per menu makan per hari;
negatif;Ini baru nama nya MBG yg betulMAKAN GRATIS BERGIZI pejabat;
negatif;Mantap makan gratis bergizisemoga berpengaruh sama prestasi Dan menaikan IQ generasi penerus bangsa yg saat ini posisinya sangat rendah sekali;
negatif;Sebelum ada Makan Bergizi Gratis siapa penerima manfaat program makan gratis Jawab Wartawan Bodrex Buat yang ngerti aja;
positif;MBG Sebagai Kick off Hasil Gotong royong Warga Mengapa Tidak;
negatif;Makan bergizi gratis diperusahaan dikorea hihi;
negatif;Penjabat Gubernur Jabar Bey Machmudin memastikan menganggarkan Rp1 triliun untuk melaksanakan Program Makan Bergizi Gratis MBG di seluruh kotakabupaten seJabar selama setahun;
negatif;Miris bgt liat review nyata program makan bergizi gratis Cuma bisa membatin aja;
negatif;Anaknya dikasih makan bergizi gratis yang gak bergizi amat orang tuanya dipalak ppn 12 yang bener aja dong situ waras;
positif;bravo Makan bergizi gratis bikin anak2 tumbuh pintar dan kuat;
negatif;sial opini jelek namanya programnya apa makan bergizi gratis apa makan bersyukur gratis ini program pake apbn lho duit rakyat bukan duit admin gerindra terus kalo rakyat kritik langsung dicap ga nerima kekalahan;
negatif;Udah laa makan bergizi gratis itu gada wong uang diambil dari uang pajak dan sebagainyaa ko Kalo gratis tuh emang bener dari penjualan berbagai bahan bahan yaang dijual ke negara lain kalo untung terus di buat ngasih ke rakyat baru namanya grat;
negatif;Program Makan Bergizi Gratis Bantu Kemenkes Atasi Salah Satu dari Tiga Isu Kesehatan Menkes Budi Gunadi Sadikin menilai Program Makan Bergizi Gratis MBG merupakan langkah penting dalam menangani salah satu dari tiga isu kesehatan utama;
negatif;Alasan aja kasih program makan gratis tapi gak bergizi Kementerian isinya ratusan orang sama wakil menteri pejabat hidup hedon dari fasilitas dan tunjangan gak penting dan masih alasan gak ada budget Bullshit;
positif;makan bergizi gratis makin miris aja makanannya;
negatif;Dulu kirain saya makan bergizi gratis ini berlaku di seluruh sekolah  DAN SMA SMK di seluruh wilayah indonesia tapi ternyata tidak ya;
negatif;Duit segitu daripada buat makan siang gratis yg ga efektif itu kenapa ga dipake buat meningkatkan kesejahteraan rakyat aja sih Itu anak anak gabakal stunting kalo orangtuanya mampu ngasih makanan bergizi Masa hal kaya gini aja ga kepikiran ya;
negatif;Yg sprt ini memang sdh di antisipasi oleh Pemerintah itu perbuatan dari klompok sakit hati dan mereka dgn sengaja lakukan sabotage MAKAN BERGIZI GRATIS Sabotage sprt ini jgn di biarkan merajalela;
negatif;Duit segitu daripada buat makan siang gratis yg ga efektif itu kenapa ga dipake buat meningkatkan kesejahteraan rakyat aja sih Itu anak anak gabakal stunting kalo orangtuanya mampu ngasih makanan bergizi Masa hal kaya gini aja ga kepikiran yak;
negatif;Mungkin Semakin ngga jelas negara ini dengan anggaran makan siang anak bergizi Gratis yg kampanye di anggarkan dari 25 ribu turun ke 18 ribu lalu 15 ribu yg sekarang jadi 10 ribu utk mencerdaskan anak bangsa Kita berdoa saja negara k;
negatif;Pengamat kebijakan publik Trubus Rahadiansyah menyoroti perlunya tambahan asupan asam folat dalam program Makan Bergizi Gratis MBG yang diperuntukkan bagi ibu hamil;
negatif;Makan Gratis Bergizi 10rb per kepala murid Makan siang gratis untuk guru dibayarin ama masingmasing orangtua murid sebesar 26 juta untuk tahun pertama Jika 26 juta dikali 100 murid dibagi 300 hari dibagi 20 guru maka harga makan siang guru 43rban;
negatif;Menu hari iniyg pasti lebih bergizi daripadamakan siang gratis eh;
positif;Tawarin ke makan bergizi gratis 5 rb satu batang bisa buat 5 orang lebih Tergantung jumlah daun Daripada dikasi sayur gak jelas dikitnya;
positif;Itu makan bergizi siang gratis ya Murid sd mana ya;
positif;Dari makan bergizi gratis ini bukti kepedulian presiden Prabowo utk menepati janji kampanye Kebalikan dari Jokowi yg janji kampanyenya tdk ada yg ditepati Jokowi telah membohongi rakyat Indonesia dgn janji kampanyenya;
positif;Mari dukung makan bergizi gratis untuk anakanak kita;
negatif;Buru buru mau mengawasi Makan Bergizi Gratis;
negatif;Tahun lalu gw juga bilang apa STOP PROGRAM MAKAN BERGIZI GRATIS Nanti kalau Pemerintahan Pak  sudah stabil baru dipersiapkan dengan matang Banyak janji Politik yang lebih urgent untuk direalisasikan;
positif;Program makan bergizi gratis ini adalah langkah nyata untuk menciptakan perubahan besar;
positif;support penuh buat program makan bergizi gratis Impactnya nyata;
negatif;Makan Bergizi Ekonomi Bangkit Program Makan Bergizi Gratis bukan cuma soal kesehatan tapi juga dorongan besar untuk ekonomi lokal  Barengbareng kita bangun Indonesia yang lebih kuat;
negatif;MBG Solusi Stunting dan Ekonomi Merata Program Makan Bergizi Gratis bukan hanya soal gizi tapi juga langkah besar untuk ekonomi adil dan ketahanan pangan kuat   Ekonomi;
positif;ya namanya juga makan bergizi gratis buat pendidikan bukan org terlantar aja goblok bgt u;
positif;seneng liat vidio2 anak anak dapet makan bergizi gratis;
negatif;Makan bergizi gratis itu baik Tapi banyak pengangguran daya beli jatuh Menurut saya lebih baik kalo dana yg puluhan triliun itu sbagian utk subsidi pupuk amp;
positif;Jadi ini gratis atau bayar Gratis tapi bayar gitu Atau bayar tapi gratis Masih gak konek otakku makan bergizi gratis tapi bayar;
negatif;Goblok yg di maksud itu makan bergizi gratis bukan jajan;
negatif;Same with Indonesia high five kita  Kalau berkenan search Makan Bergizi Gratis program baru untuk anak sekolah dari new President;
negatif;Isi laut dari 2 samudera lebih dari cukup untuk membuat makanan bergizi untuk makan siang gratis anakanak sekolah;
negatif;goblok yg di maksud makan siang gratis bergizi;
positif;Anak SD ini sisakan jatah Makan Bergizi Gratis untuk Ibunya di rumah Jadi;
positif;program mantul makan bergizi gratis bikin masa depan sehat;
negatif;Jangan mau gak usah ambil makan nasi gratis bikin miris mending bawain bekal anak sendiri yg lebih bergizi dan terjamis dari semua segi;
positif;Masih terlihat lebih bergizi daripada menu makan siang gratis;
negatif;Program Makan Bergizi Tidak Gratis;
negatif;Makan Gratis Bergizi ini akan diingat sampai kapanpun oleh anakanak Saya masih inget dulu pas SD pak Idham samawi ngasih 1 pohon jati dan 2 ekor ayam kampung sepasang harapannya dipelihara dan telurnya dimasak Semua butuh proses namanya juga program;
positif;Makan bergizi gratis bikin hidup lebih baik Keluarga kecil pasti bahagia;
positif;Dari 10 tahun berkuasa katanya ekonomi meroketkenyataan nya rakyat masih disuapi kocor bansos Kalau ekonomi meroket ekonomi rakyat lancar jaya tak perlu tebar bansos dan MAKAN bergizi GRATIS susu daun kelor  LoL;
negatif;Beberapa hari ini liat di tl makan gratis anak sekolah Gmn ma bergizi sayurnya aja overcooked sampe pucet;
positif;ini makan BERGIZI gratis apa gratis doang sih picky eater picky eater makanan lu ga enak kocak;
positif;MAKAN BERGIZI GRATIS MBG Masih banyak suara minor mengenai mutu amp;
positif;mantap Makan bergizi gratis bikin generasi sehat dan ekonomi lancar;
negatif;Bahkan makan siang bergizi gratis ini harusnya program yang baru dikerjain setelah sekolah dasar pada punya dapur umum atau sekadar storage sebagai salah satu fasilitasnya Susah emang kalau punya pejabatpejabat bego bangkotan korup dan ga visioner blas;
positif;Program makan bergizi gratis ini pasti memberi dampak positif dalam jangka panjang;
positif;makan bergizi gratis itu solusi cerdas bwt semua;
negatif;Yah kalo narasinya bersyukur udah dikasih mah jgn kasih nama makan bergizi gratis tp makan seikhlasnya gratis nah itu baru dah Org janji sama realisasi aja udah jauh bgt ditambah eksekusinya  dipaksakan biar keliatan;
negatif;Makan Bergizi jatuhnya ini apalah itu kata Gratis Hanya embelembel;
positif;makan bergizi gratis anakanak masa depan cerah;
positif;luar biasa Makan bergizi gratis bikin kualitas hidup meningkat;
positif;Program Makan Bergizi Gratis jadi kesempatan emas bagi emiten untuk meraih keuntungan Inisiatif ini tak hanya memberikan manfaat sosial tetapi juga mendorong pertumbuhan sektor makanan dan distribusi Saat perut kenyang ekonomi pun makin berkembang Lihat artikel;
positif;makan bergizi gratis Bikin ekonomi lokal jadi oke banget;
positif;makan bergizi gratis langkah cerdas buat masa depan;
negatif;Parah anak2 di kasih makan alakadarnya tanpa di sediakan air mineral  Makin ketahuan kan bobroknya program yg katanya makan bergizi gratis;
negatif;Dia lupa tujuan makan siang gratis itu apa Membantu ekonomi Ganjel perut doang Klo tujuannya emg bantuin ekonomi ortunya ya mending sektor lain yg ditingkatkan misal naekin UMR nya murahin hrga2 sembakonya jd ortunya bisa kasih mkan berg;
positif;Makan bergizi gratis bukan makan enak gratis Makanan enak belum tentu bergizi Saya yakin anak itu kalau dikasi mie goreng sama tempe goreng pasti mereka akan pilih mie goreng Lebih bergizi amp;
positif;Dukungan penuh untuk program makan bergizi gratis semoga dapat menjangkau seluruh pelosok negeri;
positif;Program makan bergizi gratis adalah wujud nyata keadilan sosial bagi seluruh rakyat;
positif;Makan bergizi gratis th solusi anu nyata pikeun ningkatkeun kualitas hirup rakyat;
positif;Program makan bergizi gratis ini langkah kecil dengan dampak luar biasa;
negatif;Makan bergizi gratis sama sekali tidak mencukupi nilai gizi untuk anak sekolah Coba bandingkan dengan panduan porsi makan dg gizi berimbang menurut kemenkes Amat sangat jauh dari kata BERGIZI  Aguan 30 km;
positif;Program makan bergizi gratis adalah bukti nyata perhatian pemerintah terhadap masa depan bangsa;
negatif;Mudarat Makan Bergizi Gratis akan mengalir sampai jauh;
positif;bsk adekku dpet makan bergizi gratis;
negatif;Buzzer goblok ini bukan soal suka atau tidak suka ayam tp bergizi apa gak bergizi tau gak blok goblok tujuannya itu makan bergizi gratis;
negatif;Pak Prabowo mending batalin aja makan gratis ini gapapa kok daripada menunya maksa bener dan iya kalo emang makanannya bergizi lha apa yang didapet dari harga segitu;
negatif;lebih hebat lagi uang jatah buzzer dialokasikan buat makan siang gratis agar isinya lebih bergizi sanggup gak;
negatif;RAHASIA NEGARA Anakanak diimbau supaya tidak mengambil foto menu makan bergizi gratis dan menyebarluaskannya ujar kepala sekolah di Somalia Emang kenapa Pak tanya jOn seorang murid yg tampan itu Karena lauk pauknya merupakan rahasia negara jelas Kepsek;
negatif;gw lg mikir orang ngomong mbg mbg tuh apa gw pikir makan bareng gbran ternyata makan bergizi gratis;
negatif;Makan siang bergizi gratis adalah wujud nyata dari pembangunan bangsa yang inklusif;
negatif;Makan bergizi gratis ini sangat membantu anakanak dari keluarga kurang mampu;
negatif;Pemdanya bisa kena pasal korupsi atau pungli kalau memungut lagi dana dari orang tua murid untuk program makan bergizi gratis;
negatif;Program makan bergizi gratis ini harus jadi contoh bagi daerah lain di Indonesia;
negatif;Makan bergizi gratis itu solusi yang sangat dibutuhkan;
negatif;entahlah berkedok pungutan liar tuk menutupi kekurangan dana makan bergizi gratis atau bagemana;
positif;Sipp semoga program makan bergizi gratis ini bisa bermanfaat buat banyak orang ya Good job Pemerintah;
positif;Makan bergizi gratis ini bukti bahwa kita bisa membuat perubahan besar;
positif;Program makan bergizi gratis ini benarbenar memberikan dampak besar untuk anakanak di seluruh Indonesia;
negatif;kata gua vendor coretax mending jadi vendor makan bergizi gratis dah biar program gajelasnya ga kebanyakan gitu;
positif;Kita support program makan bergizi gratis semoga setiap hari makin baik mutu amp;
positif;Makan gratis bergizi pula Program ini benerbener bikin happy;
negatif;Ini juga bukan makan siang gratis dan bukan pake uang  bisa dipastikan sehat dan bergizi kalau ini;
positif;Program makan bergizi gratis adalah langkah cerdas untuk meningkatkan kesejahteraan rakyat;
positif;Sebaiknya makan gratis di berikan di daerah pedalaman Desa di daerah lebih bermanfaat di perkotaan ribet anak2 biasa fast food banyak maunya dan masyarakat perkotaan tidak menghargai padahal gratis dan bergizi ada testimoni a;
positif;Itu program makan bergizi gratis sampai ke skolah pelosok desa desa GK ya;
negatif;Hari ketiga makan bergizi gratis adik aku kali ini ada ayam tapi kecil tahunya gaada rasa katanya kayak makan udara masih ga dapet susu Jeruknya dilempar2 sama temen2 kelasnya karna bosen dari hari pertama jeruk terus jadi malah perang jeruk;
positif;Makan bergizi gratis mangrupa solusi nyata pikeun ningkatkeun kualitas SDM;
positif;Makan bergizi gratis bikin hidup keluarga kecil jadi lebih nyaman Terima kasih;
positif;Program makan bergizi gratis adalah bukti nyata perhatian pemerintah terhadap rakyat kecil;
negatif;Makanan Bergizi Gratis ko malah jadi Yang Penting Makan;
positif;program Makan Bergizi Gratis memiliki potensi besar untuk memberikan manfaat jika diimplementasikan dengan benar tetapi juga menghadapi tantangan yang perlu diatasi untuk memastikan efektivitas dan efisiensi;
positif;Program makan bergizi gratis membantu menciptakan masyarakat yang lebih sehat dan berdaya saing;
positif;Itulah knp ada program makan bergizi gratis;
positif;Program makan bergizi gratis adalah investasi penting untuk generasi mendatang;
positif;Makan bergizi gratis ini kayak mimpi jadi nyata Pemerintah makin solid;
positif;Makan bergizi gratis solusi jitu buat stunting Pemerintah makin top aja;
negatif;Program makan bergizi gratis adalah bukti nyata keberpihakan pemerintah pada rakyat kecil;
positif;Program makan bergizi gratis adalah langkah konkret untuk menciptakan keadilan sosial;
negatif;Program makan bergizi gratis menjadi harapan baru bagi masyarakat kurang mampu;
positif;Makan bergizi gratis ini solusi terbaik buat masalah gizi di Indonesia;
positif;Program makan bergizi gratis adalah salah satu kebijakan terbaik untuk meningkatkan kualitas hidup rakyat;
positif;Makan gratis tapi tetap bergizi Ini sih program yang wajib dipuji Lanjutkan;
positif;Makan bergizi gratis adalah bentuk nyata keadilan sosial bagi seluruh rakyat;
negatif;Program makan siang bergizi gratis menjadi inspirasi bagi daerah lain untuk melakukan hal serupa;
positif;Program makan bergizi gratis adalah langkah strategis untuk meningkatkan kualitas SDM;
positif;Program makan bergizi gratis adalah bukti nyata perhatian pemerintah pada rakyat kecil;
positif;Program makan bergizi gratis adalah solusi inovatif untuk mengatasi permasalahan gizi nasional;
positif;Program makan bergizi gratis ini bikin masa depan anakanak kita jadi lebih cerah Salut;
negatif;Salut buat pemerintah yang bikin program makan bergizi gratis jadi kenyataan;
positif;Semoga program makan bergizi gratis terus berlanjut dan memberikan manfaat besar bagi rakyat;
positif;Salut buat program makan bergizi gratis Anakanak sekarang nggak perlu khawatir soal gizi;
positif;Makan bergizi gratis ini contoh nyata gimana pemerintah bisa bikin perubahan besar;
positif;Program makan bergizi gratis bikin masyarakat kecil jadi lebih optimis;
negatif;Program makan bergizi gratis adalah salah satu kebijakan yang sangat prorakyat;
negatif;Salut buat program makan bergizi gratis yang bikin rakyat kecil lebih sejahtera;
negatif;Program makan bergizi gratis membantu anakanak mendapatkan hak mereka atas gizi yang cukup;
positif;Komitmen pemerintah dalam memenuhi kebutuhan gizi generasi emas terlihat melalui program Makan Bergizi Gratis Wujudkan Mimpi Kita;
positif;Program makan bergizi gratis ini contoh nyata aksi peduli sesama;
negatif;Makan Bergizi Gratis menjadi harapan bagi mereka yang kesulitan mendapatkan asupan gizi Wujudkan Mimpi Kita;
negatif;Dengan Program Makan Bergizi Gratis akan berdampak baik untuk generasi Indonesia Wujudkan Mimpi Kita;
positif;Program makan bergizi gratis ke sekolah2 sangat membantu kaum ibu2 Wujudkan Mimpi Kita;
negatif;Dengan Makan BergiziGratis masyarakat diharapkan memperoleh tubuh yang sehat dan kecerdasan optimal Wujudkan Mimpi Kita;
negatif;Dengan program Makan Bergizi Gratis pemerintah membuktikan komitmennya untuk menciptakan generasi emas yang sehat dan bergizi Wujudkan Mimpi Kita;
negatif;Makan bergizi gratis itu langkah sederhana dengan dampak luar biasa;
positif;Program Makan Bergizi Gratis adalah bukti konkret keseriusan pemerintah dalam mendukung pemenuhan gizi generasi emas Indonesia Wujudkan Mimpi Kita;
negatif;Program pemerintah Makan Bergizi Gratis yang diadakan oleh pemerintah merupakan salah satu langkah yang sangat tepat Wujudkan Mimpi Kita;
negatif;Program makan bergizi gratis membantu anakanak tumbuh dengan asupan gizi yang optimal;
negatif;Potensi masalah program makan siang BERGIZI gratis  keracunan massal  vendor tidak dibayar atau terlambat dibayar  orang tua siswa pada akhirnya diminta berpartisisapi alias ikut patungan wqwqwq Apa lagi yak;
negatif;Makan Bergizi Gratis akan membuat generasi negara jauh lebih sehat dan pastinya akan bisa menyaingi negara maju di semua bidang Wujudkan Mimpi Kita;
positif;Anak saya jadi lebih semangat ke sekolah karena program makan bergizi gratis Wujudkan Mimpi Kita;
negatif;Perlunya Makan Bergizi Gratis adalah untuk menjamin setiap orang memiliki akses makanan sehat yang Bergizi Wujudkan Mimpi Kita;
positif;Program makan bergizi gratis adalah solusi nyata untuk menciptakan generasi yang lebih kuat;
positif;Terima kasih buat semua yang sudah peduli dan mendukung program makan bergizi gratis ini;
positif;Wujudkan Mimpi Kita Makan Bergizi Gratis nahhh sudah diberikan;
negatif;program Makan Bergizi Gratis ini bagian dari rencana mengembangkan anak yang gijinya kurang hingga bisa mencukupi dengan baik Wujudkan Mimpi Kita;
positif;Gizi seimbang adalah kunci utama dari Program Makan Bergizi Gratis dalam meningkatkan kualitas hidup anak2 indonesia Wujudkan Mimpi Kita;
positif;Semoga makan bergizi gratis jadi gerakan nasional di Indonesia;
negatif;Bukan takut pak tapi ndak enak karena sudah terlalu banyak menerima pemberian makan bergizi gratis dari Tuan Meneer;
negatif;Makan Bergizi Gratis merupakan program pemerintah untuk memenuhi gizi anak Indonesia Wujudkan Mimpi Kita;
positif;Program Makan Bergizi Gratis memastikan masa depan bangsa melalui kesehatan anakanaknya Wujudkan Mimpi Kita;
negatif;Melalui Makan BergiziGratis program ini ingin menciptakan generasi yang sehat dan pintar Wujudkan Mimpi Kita;
positif;Makan bergizi gratis ini langkah nyata untuk peduli anak bangsa;
positif;Makan bergizi gratis ini bikin hidup lebih seimbang Gizi cukup hati tenang;
negatif;Mana MONCONGnya yg bilang MAKAN SEHAT BERGIZI gratis gak penting TAPUK ae lambenya banyak kek gini dimedsossorang anak mementingkan IBU n SAUDARA kandung bilang GAK PENTING NDAS mugak penting;
positif;Asupan gizi yang baik menjadi landasan Program Makan Bergizi Gratis dalam membentuk generasi sehat dan cerdas Wujudkan Mimpi Kita;
negatif;Mas Ketum ga ngecek makan bergizi gratis;
negatif;Generasi sehat dimulai dari program Makan Bergizi Gratis karena tubuh butuh gizi buat tumbuh Wujudkan Mimpi Kita;
positif;Program makan bergizi gratis membantu mengurangi kesenjangan akses pangan di masyarakat;
negatif;Kita harus berterimakasih karena makan bergizi gratis yg telah dilaksanakan Wujudkan Mimpi Kita;
negatif;Sebagai penanda awal dari dijalankannya program Makan Bergizi Gratis beberapa anggota kabinet juga akan hadir di beberapa titik Wujudkan Mimpi Kita;
positif;Program makan bergizi gratis membantu menciptakan generasi yang lebih sehat dan produktif;
negatif;Dengan mengkonsumsi Makan Bergizi Gratis kita menanamkan dasar yang kuat untuk kehidupan yang lebih sehat di masa depan Wujudkan Mimpi Kita;
positif;Program makan bergizi gratis adalah investasi penting untuk masa depan generasi Indonesia;
positif;Program Makan Bergizi Gratis adalah salah satu langkah nyata Presiden Prabowo dalam mencerdaskan kehidupan bangsa sebagaimana diamanatkan dalam UUD 1964 Wujudkan Mimpi Kita;
positif;pantau terus jangan bungkam anak2 gimana nih makan bergizi gratis hari keempat penasaran sama menunyaa;
negatif;apresiasi besar dari program Makan Bergizi Gratis untuk kemajuan generasi emas indonesia Wujudkan Mimpi Kita;
